id_dep,nome,deputado,partido,UF,tema_1,tema_2,tema_3,tema_4,tema_5,tema_6,tema_7,tema_8,tema_9,tema_10,tema_11,tema_12,tema_13,tema_14,tema_15,tema_16,tema_17,tema_18,tema_19,IMPEACHMENT
74095,PauderneyAvelino,Pauderney Avelino,dem,AM,nao votou,nao votou,nao votou,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,nao,nao,nao,sim,sim,nao,sim
171617,Paulao,Paulão,pt,AL,nao votou,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
178860,PauloAzi,Paulo Azi,dem,BA,sim,sim,nao,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,nao votou,sim,sim,sim,sim,nao,sim
74017,PauloFeijo,Paulo Feijó,pr,RJ,sim,sim,nao,sim,sim,sim,nao votou,nao votou,sim,nao votou,sim,nao votou,sim,sim,nao,sim,nao,sim,nao,sim
160517,PauloFoletto,Paulo Foletto,psb,ES,sim,sim,nao,sim,nao,sim,nao,nao,sim,nao,sim,sim,sim,nao,nao,sim,nao,sim,sim,sim
160558,PauloFreire,Paulo Freire,pr,SP,sim,sim,nao votou,nao votou,sim,sim,sim,nao,nao votou,nao,sim,sim,nao votou,nao,nao,sim,nao,sim,nao,sim
74574,PauloMagalhaes,Paulo Magalhães,psd,BA,sim,sim,sim,sim,nao,nao,sim,nao,nao votou,nao,sim,sim,nao,sim,sim,sim,nao,sim,nao,nao
132056,PauloMaluf,Paulo Maluf,pp,SP,nao votou,nao votou,nao votou,sim,sim,sim,sim,nao votou,sim,sim,sim,nao votou,nao votou,sim,sim,sim,nao,nao votou,nao votou,sim
141518,PauloPereiradaSilva,Paulo Pereira da Silva,solidaried,SP,sim,nao votou,nao,sim,sim,sim,nao votou,sim,sim,sim,sim,nao votou,nao votou,nao,nao,sim,sim,sim,sim,sim
74400,PauloPimenta,Paulo Pimenta,pt,RS,nao,nao votou,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
141488,PauloTeixeira,Paulo Teixeira,pt,SP,nao,nao votou,nao votou,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
74812,PedroChaves,Pedro Chaves,pmdb,GO,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,nao,sim,sim,sim
178912,PedroCunhaLima,Pedro Cunha Lima,psdb,PB,sim,nao,nao,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,nao,nao,nao,sim,nao,sim
74449,PedroFernandes,Pedro Fernandes,ptb,MA,nao votou,nao,nao,sim,nao,nao,sim,sim,nao,nao,sim,sim,nao,sim,sim,nao,sim,sim,nao,nao
